order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd
1,06/04/2012 11:32,57,57,49.99
2,13/04/2012 01:09,74,74,49.99
3,15/04/2012 07:03,71,71,49.99
4,17/04/2012 20:00,118,118,49.99
5,22/04/2012 20:53,116,116,49.99
6,04/05/2012 11:59,147,147,49.99
7,12/05/2012 02:41,186,186,49.99
8,16/05/2012 13:06,191,191,49.99
9,24/05/2012 16:00,179,179,49.99
10,30/05/2012 17:20,199,199,49.99
11,06/06/2012 14:22,271,271,49.99
12,10/06/2012 19:54,290,290,49.99
13,20/06/2012 19:13,335,335,49.99
14,28/06/2012 18:54,382,382,49.99
15,29/06/2012 15:50,357,357,49.99
16,05/07/2012 14:24,409,409,49.99
17,07/07/2012 07:36,368,368,49.99
18,07/07/2012 19:54,391,391,49.99
19,08/07/2012 02:59,424,424,49.99
20,10/07/2012 14:31,393,393,49.99
21,11/07/2012 22:16,442,442,49.99
22,19/07/2012 06:57,472,472,49.99
23,20/07/2012 13:51,470,470,49.99
24,21/07/2012 09:45,469,469,49.99
25,22/07/2012 12:53,471,471,49.99
26,27/07/2012 18:03,468,468,49.99
27,29/07/2012 07:41,467,467,49.99
28,31/07/2012 01:43,500,500,49.99
29,01/08/2012 13:50,501,501,49.99
30,06/08/2012 23:16,568,568,49.99
31,08/08/2012 17:45,545,545,49.99
32,09/08/2012 17:14,558,558,49.99
33,12/08/2012 01:39,577,577,49.99
34,12/08/2012 19:26,648,648,49.99
35,15/08/2012 03:07,669,669,49.99
36,16/08/2012 10:58,587,587,49.99
37,17/08/2012 00:42,581,581,49.99
38,17/08/2012 00:43,584,584,49.99
39,18/08/2012 09:15,638,638,49.99
40,20/08/2012 08:19,676,676,49.99
41,23/08/2012 12:16,717,717,49.99
42,24/08/2012 15:15,661,661,49.99
43,27/08/2012 04:21,694,694,49.99
44,27/08/2012 14:26,668,668,49.99
45,29/08/2012 00:16,739,739,49.99
46,29/08/2012 14:11,718,718,49.99
47,01/09/2012 10:36,780,780,49.99
48,03/09/2012 21:08,786,786,49.99
49,08/09/2012 09:52,760,760,49.99
50,12/09/2012 12:31,844,844,49.99
51,13/09/2012 07:09,823,823,49.99
52,14/09/2012 07:45,883,883,49.99
53,14/09/2012 09:09,818,818,49.99
54,14/09/2012 21:56,900,900,49.99
55,15/09/2012 09:00,838,838,49.99
56,15/09/2012 19:18,807,807,49.99
57,18/09/2012 08:07,910,910,49.99
58,19/09/2012 19:57,849,849,49.99
59,22/09/2012 17:50,988,988,49.99
60,24/09/2012 12:27,934,934,49.99
61,24/09/2012 15:13,993,993,49.99
62,24/09/2012 20:49,950,950,49.99
63,25/09/2012 08:14,969,969,49.99
64,27/09/2012 01:07,953,953,49.99
65,27/09/2012 04:26,905,905,49.99
66,29/09/2012 19:44,941,941,49.99
67,30/09/2012 10:29,939,939,49.99
68,02/10/2012 19:14,1006,1006,49.99
69,05/10/2012 11:06,1107,1107,49.99
70,05/10/2012 18:22,1069,1069,49.99
71,06/10/2012 00:04,984,984,49.99
72,06/10/2012 07:54,1021,1021,49.99
73,07/10/2012 01:25,1129,1129,49.99
74,07/10/2012 15:51,1103,1103,49.99
75,08/10/2012 15:43,1036,1036,49.99
76,10/10/2012 10:23,1063,1063,49.99
77,10/10/2012 13:15,1078,1078,49.99
78,10/10/2012 15:18,1056,1056,49.99
79,13/10/2012 21:35,1145,1145,49.99
80,14/10/2012 19:15,1123,1123,49.99
81,17/10/2012 12:24,1226,1226,49.99
82,20/10/2012 13:42,1279,1279,49.99
83,20/10/2012 17:49,1245,1245,49.99
84,21/10/2012 19:42,1271,1271,49.99
85,22/10/2012 11:33,1167,1167,49.99
86,22/10/2012 14:28,1243,1243,49.99
87,23/10/2012 18:58,1318,1318,49.99
88,25/10/2012 04:26,1227,1227,49.99
89,26/10/2012 07:25,1283,1283,49.99
90,28/10/2012 06:17,1222,1222,49.99
91,29/10/2012 00:19,1233,1233,49.99
92,01/11/2012 08:02,1274,1274,49.99
93,01/11/2012 17:40,1426,1426,49.99
94,01/11/2012 18:56,1267,1267,49.99
95,02/11/2012 14:46,1451,1451,49.99
96,03/11/2012 18:58,1445,1445,49.99
97,04/11/2012 06:41,1393,1393,49.99
98,05/11/2012 18:35,1351,1351,49.99
99,06/11/2012 16:47,1324,1324,49.99
100,06/11/2012 17:59,1480,1480,49.99
101,07/11/2012 10:23,1422,1422,49.99
102,09/11/2012 07:25,1368,1368,49.99
103,11/11/2012 02:57,1515,1515,49.99
104,12/11/2012 13:31,1468,1468,49.99
105,13/11/2012 04:28,1525,1525,49.99
106,13/11/2012 18:51,1547,1547,49.99
107,14/11/2012 01:09,1443,1443,49.99
108,14/11/2012 20:42,1559,1559,49.99
109,15/11/2012 03:18,1576,1576,49.99
110,15/11/2012 22:31,1552,1552,49.99
111,17/11/2012 16:07,1584,1584,49.99
112,17/11/2012 20:47,1483,1483,49.99
113,18/11/2012 11:31,1532,1532,49.99
114,18/11/2012 22:56,1544,1544,49.99
115,19/11/2012 17:29,1626,1626,49.99
116,21/11/2012 06:39,1638,1638,49.99
117,21/11/2012 18:20,1528,1528,49.99
118,22/11/2012 01:35,1653,1653,49.99
119,25/11/2012 21:13,1637,1637,49.99
120,25/11/2012 21:54,1756,1756,49.99
121,26/11/2012 03:35,1660,1660,49.99
122,26/11/2012 15:40,1646,1646,49.99
123,26/11/2012 23:13,1631,1631,49.99
124,27/11/2012 09:18,1617,1617,49.99
125,27/11/2012 09:36,1779,1779,49.99
126,27/11/2012 18:57,1848,1848,49.99
127,27/11/2012 19:18,1748,1748,49.99
128,28/11/2012 01:24,1815,1815,49.99
129,28/11/2012 12:23,1604,1604,49.99
130,29/11/2012 17:23,1908,1908,49.99
131,30/11/2012 10:45,1636,1636,49.99
132,02/12/2012 16:26,2064,2064,49.99
133,02/12/2012 20:46,2051,2051,49.99
134,02/12/2012 23:09,1988,1988,49.99
135,03/12/2012 00:54,1909,1909,49.99
136,03/12/2012 22:16,1905,1905,49.99
137,03/12/2012 22:45,1961,1961,49.99
138,04/12/2012 02:54,1918,1918,49.99
139,04/12/2012 15:16,1776,1776,49.99
140,04/12/2012 17:07,2028,2028,49.99
